[0.14737572 0.21963407 0.03125431 0.26584432 0.2982597  0.03763199],[0.07114741 0.11227601 0.00633812 0.08628082 0.09353467 0.00872022]
[0.14094162 0.23534852 0.03392528 0.27094895 0.27969044 0.0391447 ],[0.06737789 0.11451827 0.00803579 0.0870869  0.0866869  0.01030039]
[0.14024977 0.21152021 0.03436052 0.27410868 0.303538   0.03622307],[0.06682925 0.10620052 0.00800435 0.085542   0.09144469 0.00796845]
[0.14575014 0.20815727 0.03360963 0.27753362 0.30036426 0.03458473],[0.07011106 0.10683369 0.00823022 0.0902443  0.0949941  0.00780777]
[0.13887    0.2218712  0.02969193 0.26969925 0.30130976 0.03855719],[0.06839817 0.11296043 0.00539185 0.09357693 0.09607018 0.00966668]
[0.14267676 0.20506562 0.0306394  0.2600548  0.3177159  0.04384737],[0.06674859 0.10763254 0.00649426 0.08637618 0.10085709 0.01300032]
[0.13918415 0.20549552 0.03182676 0.26738435 0.31602696 0.04008196],[0.06567527 0.10670987 0.00758574 0.08936543 0.10217145 0.01146549]
[0.1467732  0.22354206 0.03225524 0.2386429  0.3220232  0.0367638 ],[0.0710906  0.11524155 0.00844243 0.07447166 0.10197047 0.00843058]
[0.13967785 0.21139678 0.02906488 0.2753543  0.30613482 0.03837114],[0.06514706 0.10980418 0.00475499 0.08927115 0.09488883 0.00868934]
[0.13242038 0.19648166 0.03450998 0.27672085 0.32093585 0.03893145],[0.06228962 0.09812281 0.00757221 0.08450565 0.09665809 0.00756936]
[0.13251817 0.21446909 0.03056198 0.27040565 0.31027687 0.04176759],[0.06282672 0.11303785 0.00613473 0.0915849  0.10052973 0.01208754]
[0.11581393 0.21366619 0.03072185 0.2769677  0.32396036 0.0388698 ],[0.05031896 0.10729061 0.00618677 0.09043159 0.09754174 0.00902779]
[0.12166542 0.20377095 0.02945063 0.28638372 0.3202775  0.03845189],[0.0586383  0.1056074  0.00626582 0.09658331 0.0994632  0.00962407]
[0.12630601 0.20876531 0.03130334 0.29174644 0.30490267 0.03697682],[0.05995548 0.10432104 0.00554785 0.09911262 0.09573193 0.00810198]
[0.1204409  0.22121288 0.03169217 0.25406492 0.32370567 0.048884  ],[0.05353242 0.11002834 0.00653171 0.08234154 0.09638877 0.01576236]
[0.12843056 0.20641597 0.03341903 0.266002   0.32039332 0.04533903],[0.06013043 0.10486587 0.00649972 0.08506538 0.09646049 0.01323543]
[0.12736651 0.20318297 0.03631746 0.26271898 0.33099118 0.0394224 ],[0.0624381  0.10682131 0.01029974 0.08515425 0.1027111  0.00890041]
